class,model,method,file_path,module
ProjectRepairTaskAssigneeLog,project.repair.task.assignee.log,create,C:\Cursor\Odoo\csl_addons\csl_project_repair_assignee_log\models\project_repair_task_assignee_log.py,csl_project_repair_assignee_log
ProjectRepairTaskAssigneeLog,project.repair.task.assignee.log,write,C:\Cursor\Odoo\csl_addons\csl_project_repair_assignee_log\models\project_repair_task_assignee_log.py,csl_project_repair_assignee_log
ProjectTask,project.task,write,C:\Cursor\Odoo\csl_addons\csl_project_repair_assignee_log\models\project_task.py,csl_project_repair_assignee_log
PurchaseOrder,purchase.order,button_confirm,C:\Cursor\Odoo\csl_addons\csl_purchase\models\purchase_order.py,csl_purchase
PurchaseOrder,purchase.order,message_post,C:\Cursor\Odoo\csl_addons\csl_purchase\models\purchase_order.py,csl_purchase
PurchaseOrderLine,purchase.order.line,_prepare_stock_move_vals,C:\Cursor\Odoo\csl_addons\csl_purchase\models\purchase_order.py,csl_purchase
PurchaseOrderLine,purchase.order.line,_prepare_stock_move_vals,C:\Cursor\Odoo\csl_addons\csl_purchase\models\purchase_order.py,csl_purchase
AccountAnalyticLine,account.analytic.line,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\account_analytic_line.py,csl_repair
AccountAnalyticLine,account.analytic.line,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\account_analytic_line.py,csl_repair
AccountAnalyticLine,account.analytic.line,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\account_analytic_line.py,csl_repair
ProductLine,rma.product_line,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\expected_delivery.py,csl_repair
ProductLine,rma.product_line,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\expected_delivery.py,csl_repair
ExpectedDelivery,rma.expected_delivery,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\expected_delivery.py,csl_repair
ExpectedDelivery,rma.expected_delivery,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\expected_delivery.py,csl_repair
ExpectedDelivery,rma.expected_delivery,unlink,C:\Cursor\Odoo\csl_addons\csl_repair\models\expected_delivery.py,csl_repair
ExpectedDelivery,rma.expected_delivery,message_post,C:\Cursor\Odoo\csl_addons\csl_repair\models\expected_delivery.py,csl_repair
MailComposeMessage,mail.compose.message,onchange_template_id,C:\Cursor\Odoo\csl_addons\csl_repair\models\mail_compose_message.py,csl_repair
MailComposeMessage,mail.compose.message,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\mail_compose_message.py,csl_repair
MailComposeMessage,mail.compose.message,send_mail,C:\Cursor\Odoo\csl_addons\csl_repair\models\mail_compose_message.py,csl_repair
IrModelField,ir.model.fields,_reflect_field_params,C:\Cursor\Odoo\csl_addons\csl_repair\models\mixins.py,csl_repair
IrModelField,ir.model.fields,_instanciate_attrs,C:\Cursor\Odoo\csl_addons\csl_repair\models\mixins.py,csl_repair
GetStatusMixin,get.status.mixin,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\mixins.py,csl_repair
GetStatusMixin,get.status.mixin,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\mixins.py,csl_repair
Product,product.product,_name_search,C:\Cursor\Odoo\csl_addons\csl_repair\models\product_product.py,csl_repair
Product,product.product,search_read,C:\Cursor\Odoo\csl_addons\csl_repair\models\product_product.py,csl_repair
ProjectRepairTaskAssigneeLog,project.repair.task.assignee.log,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_assignee_log.py,csl_repair
ProjectRepairTaskAssigneeLog,project.repair.task.assignee.log,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_assignee_log.py,csl_repair
ProjectRepairTaskLine,project.repair.task.line,_search,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_line.py,csl_repair
ProjectRepairTaskLine,project.repair.task.line,unlink,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_line.py,csl_repair
ProjectRepairTaskStageLog,project.repair.task.stage.log,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_stage_log.py,csl_repair
ProjectRepairTaskStageLog,project.repair.task.stage.log,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_stage_log.py,csl_repair
ProjectTaskType,project.task.type,unlink,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_type.py,csl_repair
Project,project.project,get_alias_values,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_type.py,csl_repair
Project,project.project,unlink,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_type.py,csl_repair
