Cycle,Count,Models Involved
base.ir.model.access -> base.ir.model.access -> base.ir.model.access,8,"ir.model.access, ir.model.access, ir.model.access"
mail.res.company -> mail.res.company -> mail.res.company,7,"res.company, res.company, res.company"
note.res.users -> note.res.users -> note.res.users,7,"res.users, res.users, res.users"
website_partner.res.partner -> website_partner.res.partner -> website_partner.res.partner,7,"res.partner, res.partner, res.partner"
im_livechat.mail.channel -> im_livechat.mail.channel -> im_livechat.mail.channel,6,"mail.channel, mail.channel, mail.channel"
purchase.product.template -> purchase.product.template -> purchase.product.template,6,"product.template, product.template, product.template"
snailmail_account.account.invoice.send -> snailmail_account.account.invoice.send -> snailmail_account.account.invoice.send,6,"account.invoice.send, account.invoice.send, account.invoice.send"
sms.res.partner -> sms.res.partner -> sms.res.partner,6,"res.partner, res.partner, res.partner"
l10n_cl_edi.account.debit.note -> l10n_cl_edi.account.debit.note -> l10n_cl_edi.account.debit.note,5,"account.debit.note, account.debit.note, account.debit.note"
base.ir.actions.act_window.view -> base.ir.actions.act_window.view -> base.ir.actions.act_window.view,5,"ir.actions.act_window.view, ir.actions.act_window.view, ir.actions.act_window.view"
web_studio.ir.model -> web_studio.ir.model -> web_studio.ir.model,5,"ir.model, ir.model, ir.model"
event_crm.event.event -> event_crm.event.event -> event_crm.event.event,5,"event.event, event.event, event.event"
hr_attendance.hr.attendance -> hr_attendance.hr.attendance -> hr_attendance.hr.attendance,5,"hr.attendance, hr.attendance, hr.attendance"
mail.res.users -> mail.res.users -> mail.res.users,5,"res.users, res.users, res.users"
website_event_track.event.track.visitor -> website_event_track.event.track.visitor -> website_event_track.event.track.visitor,5,"event.track.visitor, event.track.visitor, event.track.visitor"
csl_project_repair.purchase.order -> csl_project_repair.purchase.order -> csl_project_repair.purchase.order,5,"purchase.order, purchase.order, purchase.order"
documents_hr.hr.employee -> documents_hr.hr.employee -> documents_hr.hr.employee,4,"hr.employee, hr.employee, hr.employee"
website_event.event.registration -> website_event.event.registration -> website_event.event.registration,4,"event.registration, event.registration, event.registration"
microsoft_calendar.calendar.event -> microsoft_calendar.calendar.event -> microsoft_calendar.calendar.event,4,"calendar.event, calendar.event, calendar.event"
website_crm_score.crm.team -> website_crm_score.crm.team -> website_crm_score.crm.team,4,"crm.team, crm.team, crm.team"
mass_mailing_sms.res.users -> mass_mailing_sms.res.users -> mass_mailing_sms.res.users,4,"res.users, res.users, res.users"
stock_account.product.template -> stock_account.product.template -> stock_account.product.template,4,"product.template, product.template, product.template"
website.ir.actions.server -> website.ir.actions.server -> website.ir.actions.server,4,"ir.actions.server, ir.actions.server, ir.actions.server"
website_event.website.visitor -> website_event.website.visitor -> website_event.website.visitor,4,"website.visitor, website.visitor, website.visitor"
website_form.ir.model -> website_form.ir.model -> website_form.ir.model,4,"ir.model, ir.model, ir.model"
website_hr_recruitment.hr.job -> website_hr_recruitment.hr.job -> website_hr_recruitment.hr.job,4,"hr.job, hr.job, hr.job"
base.ir.actions.todo -> base.ir.actions.todo -> base.ir.actions.todo,4,"ir.actions.todo, ir.actions.todo, ir.actions.todo"
stock_barcode.stock.scrap -> stock_barcode.stock.scrap -> stock_barcode.stock.scrap,3,"stock.scrap, stock.scrap, stock.scrap"
voip.res.partner -> voip.res.partner -> voip.res.partner,3,"res.partner, res.partner, res.partner"
web_studio.ir.model.fields -> web_studio.ir.model.fields -> web_studio.ir.model.fields,3,"ir.model.fields, ir.model.fields, ir.model.fields"
l10n_cl.res.country -> l10n_cl.res.country -> l10n_cl.res.country,3,"res.country, res.country, res.country"
pad_project.project.task -> pad_project.project.task -> pad_project.project.task,3,"project.task, project.task, project.task"
pad_project.project.project -> pad_project.project.project -> pad_project.project.project,3,"project.project, project.project, project.project"
mrp_account.product.template -> mrp_account.product.template -> mrp_account.product.template,3,"product.template, product.template, product.template"
product.res.partner -> product.res.partner -> product.res.partner,3,"res.partner, res.partner, res.partner"
delivery_barcode.stock.picking -> delivery_barcode.stock.picking -> delivery_barcode.stock.picking,2,"stock.picking, stock.picking, stock.picking"
documents_sign.sign.template -> documents_sign.sign.template -> documents_sign.sign.template,2,"sign.template, sign.template, sign.template"
