field_key,view_modules,data_modules,shared_between,recommendation
calendar.event.name,"microsoft_calendar, google_calendar, crm, website_calendar, calendar",,views,Consider moving field definition to core if views manipulate same data
event.track.name,"website_event_track_gantt, website_event_track, website_event_track_live, website_event_track_social, website_event_track_quiz",website_event_track,both,Move field definition to core
website.twitter.wall.name,website_twitter_wall,website_event_twitter_wall,both,Move field definition to core
base.import.module.name,"web_studio, base_import_module",,views,Consider moving field definition to core if views manipulate same data
invoice_date_due,"l10n_ar, account, l10n_gcc_invoice, l10n_cl",,views,Consider moving field definition to core if views manipulate same data
invoice_origin,"l10n_ar, account, l10n_gcc_invoice",,views,Consider moving field definition to core if views manipulate same data
payment_state,"account, l10n_gcc_invoice",,views,Consider moving field definition to core if views manipulate same data
amount_tax,"purchase, l10n_ae, repair",,views,Consider moving field definition to core if views manipulate same data
amount_untaxed,"sale, l10n_ar, l10n_gcc_invoice, account, purchase, repair, l10n_cl",,views,Consider moving field definition to core if views manipulate same data
amount_by_group,"account, sale, l10n_gcc_invoice",,views,Consider moving field definition to core if views manipulate same data
amount_residual,"account, l10n_gcc_invoice",,views,Consider moving field definition to core if views manipulate same data
invoice_incoterm_id,"sale_stock, l10n_ar, l10n_gcc_invoice, account, l10n_cl",,views,Consider moving field definition to core if views manipulate same data
account.move.product_id,"l10n_it_edi, account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.quantity,"l10n_it_edi, account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.price_subtotal,"l10n_it_edi, account_edi_facturx",,views,Consider moving field definition to core if views manipulate same data
account.move.discount,"l10n_it_edi, account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.move_type,"l10n_it_edi, account_edi_facturx","l10n_ar, l10n_in",both,Move field definition to core
account.move.invoice_date,"l10n_it_edi, account_edi_facturx","l10n_ar, l10n_in",both,Move field definition to core
account.move.ref,"l10n_it_edi, account_edi_facturx",,views,Consider moving field definition to core if views manipulate same data
account.move.company_id,"l10n_it_edi, account_edi_facturx, account_edi_ubl_cii",l10n_ar,both,Move field definition to core
account.move.commercial_partner_id,"l10n_it_edi, account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.payment_reference,"l10n_it_edi, account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.currency_id,"l10n_it_edi, account_edi_facturx",l10n_ar,both,Move field definition to core
account.move.partner_bank_id,"account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.invoice_payment_term_id,"account_edi_facturx, account_edi_ubl_cii","l10n_ar, l10n_in",both,Move field definition to core
account.move.invoice_date_due,"account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.amount_total,"account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
account.move.amount_residual,"account_edi_facturx, account_edi_ubl_cii",,views,Consider moving field definition to core if views manipulate same data
fleet.service.type.name,fleet,"fleet, account_fleet",both,Move field definition to core
account.tax.name,"l10n_de, l10n_br, l10n_pe, l10n_ph, l10n_it_edi, account_tax_python, l10n_in",,views,Consider moving field definition to core if views manipulate same data
accounting.assert.test.name,account_test,account_test,both,Move field definition to core
adyen.account.name,"pos_adyen, adyen_platforms",,views,Consider moving field definition to core if views manipulate same data
barcode.nomenclature.name,barcodes,barcodes,both,Move field definition to core
barcode.rule.name,barcodes,"point_of_sale, barcodes",both,Move field definition to core
account.setup.bank.manual.config.name,"l10n_ch_qriban, base_iban",,views,Consider moving field definition to core if views manipulate same data
expiration_date,"coupon, product_expiry",,views,Consider moving field definition to core if views manipulate same data
coupon.program.name,"sale_coupon, website_sale_coupon, coupon",,views,Consider moving field definition to core if views manipulate same data
coupon.coupon.name,"sale_coupon, coupon",,views,Consider moving field definition to core if views manipulate same data
crm.stage.name,crm,crm,both,Move field definition to core
website,"base, website_forum",,views,Consider moving field definition to core if views manipulate same data
crm.team.name,"website_sale, sale, sale_crm, crm, pos_sale",,views,Consider moving field definition to core if views manipulate same data
utm.source.name,utm,"crm_livechat, utm",both,Move field definition to core
carrier_id,"delivery, l10n_it_stock_ddt",,views,Consider moving field definition to core if views manipulate same data
shipping_weight,"delivery, l10n_it_stock_ddt",,views,Consider moving field definition to core if views manipulate same data
event_id,"event, website_event_sale",,views,Consider moving field definition to core if views manipulate same data
event.lead.rule.name,"event_crm_sale, website_event_crm",,views,Consider moving field definition to core if views manipulate same data
fleet.vehicle.state.name,fleet,fleet,both,Move field definition to core
fleet.vehicle.tag.name,fleet,fleet,both,Move field definition to core
fleet.vehicle.assignation.log.name,"fleet, hr_fleet",,views,Consider moving field definition to core if views manipulate same data
gamification.badge.name,"website_profile, hr_gamification, gamification",website_slides,both,Move field definition to core
gamification.challenge.name,gamification,"website_slides, gamification_sale_crm",both,Move field definition to core
gamification.goal.definition.name,gamification,"website_slides, gamification_sale_crm",both,Move field definition to core
gamification.badge.user.wizard.name,"hr_gamification, gamification",,views,Consider moving field definition to core if views manipulate same data
ir.mail_server.name,"google_gmail, microsoft_outlook",,views,Consider moving field definition to core if views manipulate same data
hr.attendance.name,"csl_attendance, hr_attendance, hr_attendance_kiosk_break",,views,Consider moving field definition to core if views manipulate same data
resource.calendar.leaves.name,"resource, hr_work_entry, hr_holidays",,views,Consider moving field definition to core if views manipulate same data
hr.resume.line.name,"hr_skills_slides, hr_skills_survey, hr_skills",,views,Consider moving field definition to core if views manipulate same data
resource.calendar.attendance.name,"hr_work_entry, resource",,views,Consider moving field definition to core if views manipulate same data
rating.rating.name,"rating, im_livechat, portal_rating, website_slides, project",,views,Consider moving field definition to core if views manipulate same data
account.tax.template.name,l10n_br,"l10n_lu, l10n_lt, l10n_sk, l10n_hr, l10n_co, l10n_be, l10n_fr, l10n_ec, l10n_in, l10n_sg, l10n_cr, l10n_de_skr04, l10n_de_skr03, l10n_dk, l10n_fi, l10n_nl, l10n_si, l10n_pe, l10n_vn, l10n_th, l10n_uk, l10n_jp, l10n_cz, l10n_ph, l10n_syscohada, l10n_ch, l10n_ie, l10n_it, l10n_br, l10n_ar, l10n_au, l10n_bo, l10n_hu, l10n_ro, l10n_za, l10n_cn, l10n_gr, l10n_il, l10n_es_edi_sii, l10n_dz, l10n_es, l10n_ma, l10n_mn, l10n_id, l10n_nz, l10n_pa, l10n_ae, l10n_cl, l10n_tr",both,Move field definition to core
env,"csl_sale, purchase, l10n_ae, mail",,views,Consider moving field definition to core if views manipulate same data
l10n_ar.afip.responsibility.type.name,l10n_ar,l10n_ar,both,Move field definition to core
account.move.invoice_line_ids,l10n_it_edi,"l10n_ar, l10n_in",both,Move field definition to core
account.invoice.report.name,"l10n_ar, l10n_latam_invoice_document, sale",,views,Consider moving field definition to core if views manipulate same data
website.name,website_sale,l10n_ar_website_sale,both,Move field definition to core
ir.sequence.name,"l10n_latam_invoice_document, l10n_cl","csl_product, l10n_be, csl_rma",both,Move field definition to core
amount_total_words,"l10n_dz, l10n_in",,views,Consider moving field definition to core if views manipulate same data
tax_id,"sale, repair",,views,Consider moving field definition to core if views manipulate same data
res.country.state.name,"l10n_in, csl_account",l10n_in,both,Move field definition to core
account.move.reversed_entry_id,l10n_it_edi,l10n_in,both,Move field definition to core
stock.warehouse.name,"mrp_subcontracting, csl_rma, l10n_in_sale_stock, mrp, purchase_stock, l10n_in_purchase_stock, stock",,views,Consider moving field definition to core if views manipulate same data
move_ids_without_package,"stock, l10n_it_stock_ddt",,views,Consider moving field definition to core if views manipulate same data
l10n_latam.identification.type.name,l10n_latam_base,l10n_pe,both,Move field definition to core
mailing.trace.report.name,"mass_mailing_sms, mass_mailing",,views,Consider moving field definition to core if views manipulate same data
link.tracker.name,"mass_mailing, website_links",,views,Consider moving field definition to core if views manipulate same data
mailing.contact.name,"mass_mailing_sms, mass_mailing",,views,Consider moving field definition to core if views manipulate same data
mailing.list.name,"website_mass_mailing, mass_mailing",,views,Consider moving field definition to core if views manipulate same data
slide.channel.name,"website_slides_survey, website_slides_forum, mass_mailing_slides",,views,Consider moving field definition to core if views manipulate same data
sms.composer.name,"mass_mailing_sms, sms",,views,Consider moving field definition to core if views manipulate same data
stock.warehouse.orderpoint.name,"stock, mrp, purchase_stock",,views,Consider moving field definition to core if views manipulate same data
expiry.picking.confirmation.name,"mrp_product_expiry, product_expiry",,views,Consider moving field definition to core if views manipulate same data
product.supplierinfo.name,"purchase, mrp_subcontracting, purchase_requisition",,views,Consider moving field definition to core if views manipulate same data
stock.return.picking.name,"mrp_subcontracting, stock",,views,Consider moving field definition to core if views manipulate same data
note.note.name,"note, note_pad",,views,Consider moving field definition to core if views manipulate same data
pos.category.name,point_of_sale,"point_of_sale, pos_restaurant",both,Move field definition to core
product.attribute.name,"csl_product, product, website_sale_comparison","csl_product, point_of_sale, product_matrix, website_sale_comparison",both,Move field definition to core
report.pos.order.name,"point_of_sale, pos_hr",,views,Consider moving field definition to core if views manipulate same data
pos.session.name,"pos_sale, point_of_sale",,views,Consider moving field definition to core if views manipulate same data
uom.category.name,"uom, point_of_sale",,views,Consider moving field definition to core if views manipulate same data
portal.wizard.name,"csl_login, portal",,views,Consider moving field definition to core if views manipulate same data
restaurant.floor.name,pos_restaurant,pos_restaurant,both,Move field definition to core
restaurant.table.name,pos_restaurant,pos_restaurant,both,Move field definition to core
product.template.attribute.value.name,"csl_product, product",,views,Consider moving field definition to core if views manipulate same data
product.removal.name,stock,product_expiry,both,Move field definition to core
project.task.type.name,"csl_project_repair, project, project_repair_workflow","csl_project_repair, project_repair_workflow",both,Move field definition to core
_name,"website_sale, website_slides, sale, website_event_track, website_hr_recruitment, website_customer, website_event_track_exhibitor, website_event, website_blog, purchase, website",,views,Consider moving field definition to core if views manipulate same data
purchase.report.name,"purchase, purchase_stock",,views,Consider moving field definition to core if views manipulate same data
account.move.groups_id,"purchase, stock_landed_costs",,views,Consider moving field definition to core if views manipulate same data
purchase.order.line.name,"purchase, csl_purchase, csl_project_repair, purchase_stock",,views,Consider moving field definition to core if views manipulate same data
type,"sh_purchase_report_section, repair",,views,Consider moving field definition to core if views manipulate same data
sale.report.name,"website_sale, sale, csl_rma, website_sale_slides",,views,Consider moving field definition to core if views manipulate same data
sale.order.product_uom_qty,"csl_project_repair, sale, sale_management, csl_website",,views,Consider moving field definition to core if views manipulate same data
sale.order.product_uom,"csl_project_repair, sale, sale_management",,views,Consider moving field definition to core if views manipulate same data
sale.order.price_unit,"csl_project_repair, sale",,views,Consider moving field definition to core if views manipulate same data
sale.order.price_subtotal,"csl_project_repair, sale",,views,Consider moving field definition to core if views manipulate same data
sale.order.price_total,"csl_project_repair, sale",,views,Consider moving field definition to core if views manipulate same data
sale.order.discount,"csl_project_repair, sale",,views,Consider moving field definition to core if views manipulate same data
sale.order.display_type,"csl_project_repair, sale",,views,Consider moving field definition to core if views manipulate same data
sale.advance.payment.inv.name,"sale, sale_timesheet",,views,Consider moving field definition to core if views manipulate same data
sale.order.cancel.name,"sale_stock, sale",,views,Consider moving field definition to core if views manipulate same data
sale.order.template.name,"sale_quotation_builder, sale_management",sale_management,both,Move field definition to core
sale.order.product_id,"website_sale, csl_project_repair, sale_quotation_builder, csl_website",,views,Consider moving field definition to core if views manipulate same data
stock.rules.report.name,"sale_stock, stock",,views,Consider moving field definition to core if views manipulate same data
quant_ids,"extra_addons, stock",,views,Consider moving field definition to core if views manipulate same data
stock.inventory.line.name,"csl_project_repair, stock",,views,Consider moving field definition to core if views manipulate same data
stock.location.route.name,stock,purchase_by_line_routes,both,Move field definition to core
stock.assign.serial.name,"stock, csl_rma",,views,Consider moving field definition to core if views manipulate same data
stock.valuation.layer.name,"stock_account, stock_landed_costs",,views,Consider moving field definition to core if views manipulate same data
utm.stage.name,utm,utm,both,Move field definition to core
utm.medium.name,utm,utm,both,Move field definition to core
utm.tag.name,utm,utm,both,Move field definition to core
blog.post.name,"website_blog, csl_website",,views,Consider moving field definition to core if views manipulate same data
website.visitor.name,website_sale,website_event,both,Move field definition to core
event.type.name,"website_event_track_exhibitor, website_event_questions, website_event_track, website_event",,views,Consider moving field definition to core if views manipulate same data
event.track.location.name,website_event_track,website_event_track,both,Move field definition to core
event.track.tag.category.name,website_event_track,website_event_track,both,Move field definition to core
event.track.tag.name,website_event_track,website_event_track,both,Move field definition to core
product.public.category.name,website_sale,website_sale,both,Move field definition to core
product.pricelist.name,website_sale,website_sale,both,Move field definition to core
sale.order.state,shipengine_shipping_integration_ex,website_sale,both,Move field definition to core
product.attribute.category.name,website_sale_comparison,website_sale_comparison,both,Move field definition to core
ir.actions.todo.name,base,base,both,Move field definition to core
hr.attendance.reason.name,csl_attendance,csl_attendance,both,Move field definition to core
competitor.provider.name,csl_competitor,csl_competitor,both,Move field definition to core
manufacturer_part_no,"csl_product, csl_website",,views,Consider moving field definition to core if views manipulate same data
project.task.product.name,"csl_custom, csl_photos",,views,Consider moving field definition to core if views manipulate same data
customer_number,"csl_project_repair, csl_invoice, csl_website, csl_rma",,views,Consider moving field definition to core if views manipulate same data
po,"csl_invoice, csl_rma",,views,Consider moving field definition to core if views manipulate same data
rma.expected_delivery.name,"csl_photos, shipengine_shipping_integration_ex, csl_rma",,views,Consider moving field definition to core if views manipulate same data
rma.product_line.name,"csl_photos, csl_rma",,views,Consider moving field definition to core if views manipulate same data
project.repair.task.priority.name,project_repair_workflow,csl_project_repair,both,Move field definition to core
project.repair.task.line.reason.name,csl_project_repair,csl_project_repair,both,Move field definition to core
project.repair.task.recap.reason.name,csl_project_repair,csl_project_repair,both,Move field definition to core
sale.order.line_state,"csl_project_repair, csl_website",,views,Consider moving field definition to core if views manipulate same data
damage_description,"csl_website, csl_rma",,views,Consider moving field definition to core if views manipulate same data
sh.base.send.whatsapp.message.wizard.name,"sh_purchase_whatsapp_integration, sh_base_whatsapp_integration",,views,Consider moving field definition to core if views manipulate same data
project.repair.task.wcd.reason.name,project_repair_workflow,project_repair_workflow,both,Move field definition to core
project.repair.task.workflow.name,project_repair_workflow,project_repair_workflow,both,Move field definition to core
