class,model,method,file_path,module
AccountDisallowedExpensesReport,account.disallowed.expenses.report,_get_base_line,C:\Odoo\sh\src\enterprise\account_disallowed_expenses_fleet\report\account_disallowed_expenses_report.py,account_disallowed_expenses_fleet
FollowupLine,account_followup.followup.line,copy_data,C:\Odoo\sh\src\enterprise\account_followup\models\account_followup.py,account_followup
AccountFollowupReport,account.followup.report,get_html,C:\Odoo\sh\src\enterprise\account_followup\models\account_followup_report.py,account_followup
AccountFollowupReport,account.followup.report,_get_templates,C:\Odoo\sh\src\enterprise\account_followup\models\account_followup_report.py,account_followup
AccountFollowupReport,account.followup.report,_replace_class,C:\Odoo\sh\src\enterprise\account_followup\models\account_followup_report.py,account_followup
AccountChartTemplate,account.chart.template,_load,C:\Odoo\sh\src\enterprise\account_followup\models\chart_template.py,account_followup
AccountMove,account.move,_post,C:\Odoo\sh\src\enterprise\account_inter_company_rules\models\account_move.py,account_inter_company_rules
AccountMove,account.move,_onchange_partner_id,C:\Odoo\sh\src\enterprise\account_intrastat\models\account_move.py,account_intrastat
AccountMoveLine,account.move.line,_auto_init,C:\Odoo\sh\src\enterprise\account_intrastat\models\account_move.py,account_intrastat
AccountMove,account.move,_get_create_invoice_from_attachment_decoders,C:\Odoo\sh\src\enterprise\account_invoice_extract\models\account_invoice.py,account_invoice_extract
AccountMove,account.move,_get_update_invoice_from_attachment_decoders,C:\Odoo\sh\src\enterprise\account_invoice_extract\models\account_invoice.py,account_invoice_extract
AccountMove,account.move,_post,C:\Odoo\sh\src\enterprise\account_invoice_extract\models\account_invoice.py,account_invoice_extract
IrAttachment,ir.attachment,register_as_main_attachment,C:\Odoo\sh\src\enterprise\account_invoice_extract\models\ir_attachment.py,account_invoice_extract
AccountMove,account.move,get_user_infos,C:\Odoo\sh\src\enterprise\account_invoice_extract_purchase\models\account_invoice.py,account_invoice_extract_purchase
AccountMove,account.move,_save_form,C:\Odoo\sh\src\enterprise\account_invoice_extract_purchase\models\account_invoice.py,account_invoice_extract_purchase
AccountJournal,account.journal,_select_action_to_open,C:\Odoo\sh\src\enterprise\account_online_sync\models\online_sync.py,account_online_sync
AccountJournal,account.journal,__get_bank_statements_available_sources,C:\Odoo\sh\src\enterprise\account_online_sync\models\online_sync.py,account_online_sync
AccountJournal,account.journal,unlink,C:\Odoo\sh\src\enterprise\account_online_sync\models\online_sync.py,account_online_sync
AccountBankStatement,account.bank.statement,button_validate,C:\Odoo\sh\src\enterprise\account_online_sync\models\online_sync.py,account_online_sync
AccountBankStatement,account.bank.statement,button_validate,C:\Odoo\sh\src\enterprise\account_online_synchronization\models\account_bank_statement.py,account_online_synchronization
AccountJournal,account.journal,unlink,C:\Odoo\sh\src\enterprise\account_online_synchronization\models\account_journal.py,account_online_synchronization
AccountOnlineAccount,account.online.account,unlink,C:\Odoo\sh\src\enterprise\account_online_synchronization\models\account_online.py,account_online_synchronization
AccountOnlineLink,account.online.link,unlink,C:\Odoo\sh\src\enterprise\account_online_synchronization\models\account_online.py,account_online_synchronization
AccountLinkJournalLine,account.link.journal.line,unlink,C:\Odoo\sh\src\enterprise\account_online_synchronization\wizard\account_link_journal_wizard.py,account_online_synchronization
AccountLinkJournal,account.link.journal,unlink,C:\Odoo\sh\src\enterprise\account_online_synchronization\wizard\account_link_journal_wizard.py,account_online_synchronization
PlaidProviderAccount,account.online.provider,_get_available_providers,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
